"zona","provincia","maxabs","minabs","brecha_sc","count.sc","municipio","provincianombre"
"14006","14",10.3,8.6,1.7,2,"Añora","Córdoba"
"23901","23",13.2,11.5,1.7,2,"Cárcheles","Jaén"
"45181","45",17.8,16.1,1.7,2,"Velada","Toledo"
"41046","41",19,17.3,1.7,2,"Gilena","Sevilla"
"23039","23",19.8,18.1,1.7,2,"Guarromán","Jaén"
"31206","31",21.4,19.7,1.7,2,"Puente la Reina/Gares","Navarra"
"29095","29",21.8,20.1,1.7,2,"Villanueva de Algaidas","Málaga"
"06080","06",22.2,20.5,1.7,2,"Medellín","Badajoz"
"07012","07",22.2,20.5,1.7,2,"Campanet","Balears, Illes"
"24139","24",24.5,22.8,1.7,2,"Sahagún","León"
"32052","32",26.6,24.9,1.7,2,"Nogueira de Ramuín","Ourense"
"31019","31",28.5,26.8,1.7,2,"Aoiz/Agoitz","Navarra"
"15037","15",29.7,28,1.7,5,"Fisterra","Coruña, A"
"50235","50",32.8,31.1,1.7,2,"San Mateo de Gállego","Zaragoza"
"50126","50",33.4,31.7,1.7,2,"Illueca","Zaragoza"
"15042","15",34.1,32.4,1.7,3,"Lousame","Coruña, A"
"08043","08",40.1,38.4,1.7,2,"Canyelles","Barcelona"
"41063","41",50.6,48.9,1.7,2,"Molares, Los","Sevilla"
"12100","12",14.6,12.8,1.8,2,"Sant Mateu","Castellón/Castelló"
"39037","39",17.2,15.4,1.8,2,"Liérganes","Cantabria"
"43022","43",18.3,16.5,1.8,2,"Batea","Tarragona"
"19192","19",21.1,19.3,1.8,2,"Mondéjar","Guadalajara"
"23067","23",22.7,20.9,1.8,3,"Pegalajar","Jaén"
"14015","14",22.9,21.1,1.8,2,"Carcabuey","Córdoba"
"08166","08",23,21.2,1.8,2,"Pobla de Lillet, La","Barcelona"
"41056","41",24.4,22.6,1.8,3,"Luisiana, La","Sevilla"
"24038","24",25.1,23.3,1.8,2,"Carracedelo","León"
"31191","31",26.9,25.1,1.8,2,"Olite/Erriberri","Navarra"
"50152","50",27,25.2,1.8,2,"Maella","Zaragoza"
"18079","18",27.4,25.6,1.8,3,"Fuente Vaqueros","Granada"
"10180","10",28.6,26.8,1.8,4,"Talayuela","Cáceres"
"31084","31",28.9,27.1,1.8,2,"Etxarri-Aranatz","Navarra"
"06067","06",33.3,31.5,1.8,3,"Higuera la Real","Badajoz"
"36007","36",33.8,32,1.8,2,"Campo Lameiro","Pontevedra"
"37156","37",33.8,32,1.8,3,"Guijuelo","Salamanca"
"43109","43",38.4,36.6,1.8,2,"Pobla de Mafumet, La","Tarragona"
"08158","08",38.5,36.7,1.8,2,"Papiol, El","Barcelona"
"13009","13",13.9,12,1.9,2,"Aldea del Rey","Ciudad Real"
"46179","46",15.7,13.8,1.9,2,"Navarrés","Valencia/Valéncia"
"02901","02",16.5,14.6,1.9,2,"Pozo Cañada","Albacete"
"46203","46",17.2,15.3,1.9,3,"Pobla Llarga, la","Valencia/Valéncia"
"13007","13",18.2,16.3,1.9,2,"Alcolea de Calatrava","Ciudad Real"
"46104","46",18.3,16.4,1.9,2,"Quatretonda","Valencia/Valéncia"
"18094","18",20.3,18.4,1.9,3,"Güejar Sierra","Granada"
"11013","11",20.4,18.5,1.9,2,"Castellar de la Frontera","Cádiz"
"06136","06",21.7,19.8,1.9,2,"Usagre","Badajoz"
"06903","06",23.2,21.3,1.9,2,NA,"Badajoz"
"32026","32",24.7,22.8,1.9,3,"Coles","Ourense"
"07060","07",26.5,24.6,1.9,2,"Sineu","Balears, Illes"
"24030","24",26.5,24.6,1.9,4,"Cacabelos","León"
"33058","33",30.4,28.5,1.9,2,"Riosa","Asturias"
"22021","22",30.6,28.7,1.9,2,"Almudévar","Huesca"
"17189","17",32,30.1,1.9,2,"Cellera de Ter, La","Girona"
"11005","11",37.3,35.4,1.9,4,"Algodonales","Cádiz"
"50182","50",39.2,37.3,1.9,3,"Muela, La","Zaragoza"
"39069","39",14.9,12.9,2,2,"San Felices de Buelna","Cantabria"
"29027","29",15.7,13.7,2,2,"Benamocarra","Málaga"
"14062","14",16.4,14.4,2,2,"Torrecampo","Córdoba"
"06016","06",17.7,15.7,2,3,"Barcarrota","Badajoz"
"45133","45",19.1,17.1,2,2,"Polán","Toledo"
"31108","31",20.5,18.5,2,2,"Fustiñana","Navarra"
"02057","02",21.4,19.4,2,2,"Ossa de Montiel","Albacete"
"23034","23",21.9,19.9,2,2,"Fuensanta de Martos","Jaén"
"46258","46",23.2,21.2,2,2,"Villar del Arzobispo","Valencia/Valéncia"
"45107","45",24.5,22.5,2,3,"Nambroca","Toledo"
"25113","25",25,23,2,2,"Ivars d'Urgell","Lleida"
"39002","39",26.2,24.2,2,3,"Ampuero","Cantabria"
"42025","42",26.3,24.3,2,2,"Arcos de Jalón","Soria"
"25230","25",26.4,24.4,2,2,"Torregrossa","Lleida"
"29045","29",26.8,24.8,2,2,"Cómpeta","Málaga"
"45102","45",28.6,26.6,2,3,"Mocejón","Toledo"
"45203","45",29.6,27.6,2,2,"Yuncler","Toledo"
"45099","45",34.4,32.4,2,2,"Méntrida","Toledo"
"45084","45",18.2,16.1,2.1,2,"Lillo","Toledo"
"46008","46",18.9,16.8,2.1,2,"Albalat de la Ribera","Valencia/Valéncia"
"14070","14",20.4,18.3,2.1,2,"Villanueva del Duque","Córdoba"
"23025","23",20.4,18.3,2.1,3,"Castellar","Jaén"
"32025","32",21.8,19.7,2.1,2,"Cenlle","Ourense"
"39095","39",22.2,20.1,2.1,2,"Val de San Vicente","Cantabria"
"38030","38",22.4,20.3,2.1,2,"Puntallana","Santa Cruz de Tenerife"
"08171","08",24.4,22.3,2.1,2,"Prats de Lluçanès","Barcelona"
"46025","46",24.4,22.3,2.1,2,"Alfara del Patriarca","Valencia/Valéncia"
"14041","14",24.6,22.5,2.1,3,"Montemayor","Córdoba"
"15032","15",24.9,22.8,2.1,3,"Curtis","Coruña, A"
"05016","05",31.9,29.8,2.1,6,"Arévalo","Ávila"
"41903","41",32.1,30,2.1,5,"Cuervo de Sevilla, El","Sevilla"
"01001","01",33.1,31,2.1,2,"Alegría-Dulantzi","Araba/Álava"
"20042","20",36.6,34.5,2.1,3,"Ibarra","Gipuzkoa"
"20042","20",36.6,34.5,2.1,3,"Ibarra","Gipuzcoa"
"50163","50",36.7,34.6,2.1,2,"María de Huerva","Zaragoza"
"25016","25",37.5,35.4,2.1,2,"Alguaire","Lleida"
"25173","25",38.2,36.1,2.1,2,"Pont de Suert, El","Lleida"
"18057","18",40.2,38.1,2.1,3,"Cúllar Vega","Granada"
"45182","45",11.8,9.6,2.2,2,"Ventas con Peña Aguilera, Las","Toledo"
"14023","14",11.9,9.7,2.2,2,"Dos Torres","Córdoba"
"47004","47",16.9,14.7,2.2,2,"Alaejos","Valladolid"
"11034","11",17.3,15.1,2.2,2,"Setenil de las Bodegas","Cádiz"
"41080","41",20,17.8,2.2,2,"Real de la Jara, El","Sevilla"
"11017","11",21.7,19.5,2.2,3,"Espera","Cádiz"
"15047","15",21.9,19.7,2.2,4,"Mesía","Coruña, A"
"18912","18",21.9,19.7,2.2,2,"Cuevas del Campo","Granada"
"46074","46",22.6,20.4,2.2,2,"Bonrepòs i Mirambell","Valencia/Valéncia"
"12901","12",24,21.8,2.2,3,"Alquerías del Niño Perdido","Castellón/Castelló"
