provincianombre,provincia,maxabs,minabs,brecha.sc,count.sc,municipio,zona,show
Valencia/Valéncia,46,38,21.2,16.8,5,"Pobla de Farnals, la",m46199
Alicante,3,38.6,21.8,16.8,11,Almoradí,m3015
Sevilla,41,38.6,21.8,16.8,3,Burguillos,m41019
Almería,4,42.1,25.3,16.8,12,Berja,m4029
Granada,18,43.5,26.7,16.8,15,Almuñécar,m18017
"Coruña, A",15,43.7,26.9,16.8,20,Ames,m15002
Bizkaia,48,44.9,28.1,16.8,13,Bermeo,m48017
Cádiz,11,53.7,36.9,16.8,15,Conil de la Frontera,m11014
Murcia,30,28,11.3,16.7,6,Abanilla,m30001
Málaga,29,42.7,26,16.7,4,Algarrobo,m29005
Madrid,28,43.2,26.5,16.7,31,Collado Villalba,m28047
Sevilla,41,52.4,35.7,16.7,18,Coria del Río,m41034
Barcelona,8,54.2,37.5,16.7,9,Malgrat de Mar,m8110
Valencia/Valéncia,46,39.1,22.5,16.6,19,Aldaia,m46021
Santa Cruz de Tenerife,38,47.2,30.6,16.6,17,Candelaria,m38011
Pontevedra,36,37.9,21.4,16.5,9,Salvaterra de Miño,m36050
Tarragona,43,41.2,24.7,16.5,2,"Bisbal del Penedès, La",m43028
"Palmas, Las",35,42.4,25.9,16.5,18,Ingenio,m35011
Asturias,33,47.9,31.4,16.5,13,Laviana,m33032
Gipuzkoa,20,49.6,33.1,16.5,16,Hernani,m20040
Gipuzcoa,20,49.6,33.1,16.5,16,Hernani,m20040
Murcia,30,36.9,20.5,16.4,16,Cehegín,m30017
Zaragoza,50,38.5,22.1,16.4,9,Tarazona,m50251
Murcia,30,45.1,28.7,16.4,12,Fuente Álamo de Murcia,m30021
Tarragona,43,53.5,37.1,16.4,21,"Vendrell, El",m43163
Melilla,52,48.9,32.6,16.3,44,Melilla,m52001
Málaga,29,53.9,37.6,16.3,28,Ronda,m29084
Sevilla,41,37.3,21.1,16.2,7,Cantillana,m41023
