provincianombre,provincia,maxabs,minabs,brecha_sc,count.sc,municipio,zona,show
Barcelona,8,58.4,35.6,22.8,75,Mataró,m8121,dontshow
"Illes Balears,",7,66.1,43.5,22.6,28,Eivissa,m7026,dontshow
Alicante,3,44.2,21.7,22.5,5,Monforte del Cid,m3088,dontshow
Huesca,22,52.2,29.7,22.5,34,Huesca,m22125,dontshow
Barcelona,8,59.4,36.9,22.5,50,Sant Boi de Llobregat,m8200,dontshow
Alicante,3,45.2,22.8,22.4,5,Redován,m3111,dontshow
Alicante,3,51.8,29.4,22.4,14,"Campello, el",m3050,dontshow
Valencia,46,42.9,20.6,22.3,21,Manises,m46159,dontshow
Ciudad Real,13,48.6,26.3,22.3,53,Ciudad Real,m13034,dontshow
Madrid,28,49.7,27.4,22.3,62,Parla,m28106,dontshow
Cáceres,10,51.2,28.9,22.3,32,Plasencia,m10148,dontshow
Alicante,3,47.6,25.4,22.2,14,Altea,m3018,dontshow
Murcia,30,49.2,27,22.2,57,Molina de Segura,m30027,dontshow
Salamanca,37,49,26.9,22.1,121,Salamanca,m37274,dontshow
"Illes Balears,",7,37.1,15.1,22,7,Santa Margalida,m7055,dontshow
Alicante,3,49.3,27.3,22,34,San Vicente del Raspeig/Sant Vicent del Raspeig,m3122,dontshow
Cádiz,11,52.1,30.1,22,11,Chipiona,m11016,dontshow
Murcia,30,46,24.1,21.9,18,Alhama de Murcia,m30008,dontshow
Gipuzkoa,20,46.2,24.3,21.9,142,Donostia-San Sebastián,m20069,dontshow
Gipuzcoa,20,46.2,24.3,21.9,142,Donostia-San Sebastián,m20069,dontshow
Cádiz,11,47.1,25.2,21.9,110,Cádiz,m11012,dontshow
Girona,17,53.8,31.9,21.9,15,Salt,m17155,dontshow
Valencia,46,40,18.2,21.8,27,Ontinyent,m46184,dontshow
Pontevedra,36,49.4,27.6,21.8,11,Poio,m36041,dontshow
Huelva,21,54.4,32.6,21.8,11,Cartaya,m21021,dontshow
"Illes Balears,",7,61.8,40,21.8,16,Ciutadella de Menorca,m7015,dontshow
Barcelona,8,54.5,32.8,21.7,9,Calella,m8035,dontshow
Cádiz,11,41,19.4,21.6,13,Tarifa,m11035,dontshow
Pontevedra,36,52.7,31.1,21.6,62,Pontevedra,m36038,dontshow
Córdoba,14,43.4,21.9,21.5,18,Priego de Córdoba,m14055,dontshow
"Illes Balears,",7,44.4,22.9,21.5,8,Santanyí,m7057,dontshow
Girona,17,57.7,36.2,21.5,3,Sils,m17193,dontshow
Valencia,46,45.9,24.5,21.4,26,Burjassot,m46078,dontshow
Barcelona,8,53.6,32.2,21.4,23,Vic,m8298,dontshow
Burgos,9,61.5,40.1,21.4,30,Miranda de Ebro,m9219,dontshow
Huelva,21,49.8,28.5,21.3,12,Isla Cristina,m21042,dontshow
Málaga,29,56.7,35.4,21.3,43,Torremolinos,m29901,dontshow
Barcelona,8,58.7,37.4,21.3,14,Sant Andreu de la Barca,m8196,dontshow
León,24,49.7,28.5,21.2,112,León,m24089,dontshow
Barcelona,8,56.3,35.1,21.2,35,Granollers,m8096,dontshow
Jaén,23,41,19.9,21.1,17,Alcalá la Real,m23002,dontshow
Madrid,28,45.4,24.4,21,16,Villaviciosa de Odón,m28181,dontshow
Huelva,21,53.7,32.7,21,14,Ayamonte,m21010,dontshow
Barcelona,8,53.8,32.8,21,14,Castellar del Vallès,m8051,dontshow
Badajoz,6,34,13.1,20.9,2,Montemolín,m6086,dontshow
Burgos,9,46.4,25.5,20.9,149,Burgos,m9059,dontshow
Santa Cruz de Tenerife,38,48.3,27.4,20.9,4,Breña Baja,m38009,dontshow
Barcelona,8,56,35.1,20.9,8,Canovelles,m8041,dontshow
Tarragona,43,57.2,36.3,20.9,16,Cambrils,m43038,dontshow
Valencia,46,40.9,20.1,20.8,45,Gandia,m46131,dontshow
Asturias,33,48.8,28,20.8,202,Gijón,m33024,dontshow
Madrid,28,50.8,30,20.8,26,Arganda del Rey,m28014,dontshow
Cádiz,11,52.3,31.5,20.8,6,Puerto Serrano,m11029,dontshow
Girona,17,53.4,32.6,20.8,21,Olot,m17114,dontshow
Santa Cruz de Tenerife,38,43.6,23,20.6,4,Tazacorte,m38045,dontshow
Sevilla,41,50.6,30.1,20.5,9,Sanlúcar la Mayor,m41087,dontshow
Santa Cruz de Tenerife,38,37,16.6,20.4,27,"Orotava, La",m38026,dontshow
Madrid,28,42.8,22.4,20.4,25,Boadilla del Monte,m28022,dontshow
Girona,17,55.2,34.8,20.4,4,Castelló d'Empúries,m17047,dontshow
Cantabria,39,40,19.7,20.3,47,Torrelavega,m39087,dontshow
Madrid,28,44.6,24.4,20.2,24,Colmenar Viejo,m28045,dontshow
"A Coruña",15,48.7,28.5,20.2,75,Santiago de Compostela,m15078,dontshow
Asturias,33,54.1,33.9,20.2,36,Langreo,m33031,dontshow
Barcelona,8,55.1,34.9,20.2,31,Mollet del Vallès,m8124,dontshow
"Illes Balears,",7,55.2,35,20.2,12,Sant Antoni de Portmany,m7046,dontshow
Barcelona,8,54.5,34.4,20.1,45,Viladecans,m8301,dontshow
Castellón,12,42.5,22.5,20,34,Vila-real,m12135,dontshow
"A Coruña",15,44.3,24.3,20,5,Brión,m15013,dontshow
Jaén,23,49,29,20,26,Andújar,m23005,dontshow
Alicante,3,45.1,25.2,19.9,3,San Miguel de Salinas,m3120,dontshow
Tarragona,43,45.8,25.9,19.9,6,Alcanar,m43004,dontshow
Valencia,46,40,20.2,19.8,4,Vilamarxant,m46256,dontshow
Bizkaia,48,48.1,28.3,19.8,23,Galdakao,m48036,dontshow
Barcelona,8,55.5,35.7,19.8,22,Montcada i Reixac,m8125,dontshow
Huelva,21,39.9,20.2,19.7,7,Gibraleón,m21035,dontshow
Madrid,28,45.8,26.1,19.7,32,Aranjuez,m28013,dontshow
Zaragoza,50,48.3,28.6,19.7,14,Calatayud,m50067,dontshow
Granada,18,53.2,33.5,19.7,34,Motril,m18140,dontshow
Cádiz,11,56.8,37.1,19.7,20,Rota,m11030,dontshow
Murcia,30,44.6,25,19.6,15,Mula,m30029,dontshow
Barcelona,8,55.8,36.2,19.6,14,Santa Perpètua de Mogoda,m8260,dontshow
Sevilla,41,54.7,35.2,19.5,15,San Juan de Aznalfarache,m41086,dontshow
Girona,17,56.6,37.1,19.5,22,Blanes,m17023,dontshow
"Las Palmas",35,42,22.6,19.4,19,Agüimes,m35002,dontshow
Barcelona,8,52.9,33.5,19.4,4,Vacarisses,m8291,dontshow
Sevilla,41,55.4,36,19.4,26,Mairena del Aljarafe,m41059,dontshow
Barcelona,8,56.6,37.2,19.4,52,Manresa,m8113,dontshow
Barcelona,8,60.6,41.2,19.4,10,Cubelles,m8074,dontshow
Tarragona,43,37.7,18.5,19.2,4,Vandellòs i l'Hospitalet de l'Infant,m43162,dontshow
Málaga,29,47.8,28.6,19.2,29,Antequera,m29015,dontshow
Castellón,12,48.4,29.2,19.2,4,Oropesa del Mar/Orpesa,m12085,dontshow
Granada,18,49.5,30.4,19.1,7,Pinos Puente,m18158,dontshow
