provincianombre,provincia,maxabs,minabs,brecha.sc,count.sc,municipio,zona
Castellón/Castelló,12,24,21.8,2.2,3,Alquerías del Niño Perdido,12901
Cantabria,39,24.1,21.9,2.2,2,Ribamontán al Monte,39062
"Coruña, A",15,24.3,22.1,2.2,3,Monfero,15050
Toledo,45,24.9,22.7,2.2,2,San Pablo de los Montes,45153
Badajoz,6,25,22.8,2.2,2,Oliva de Mérida,6094
León,24,26.4,24.2,2.2,3,Valencia de Don Juan,24188
Palencia,34,27,24.8,2.2,2,Barruelo de Santullán,34027
Lleida,25,31.4,29.2,2.2,2,Arbeca,25029
Guadalajara,19,31.8,29.6,2.2,2,Brihuega,19053
Tarragona,43,37.3,35.1,2.2,2,Santa Bàrbara,43138
Barcelona,8,40.6,38.4,2.2,3,Gelida,8091
Ciudad Real,13,14,11.7,2.3,2,Abenójar,13001
Badajoz,6,15.3,13,2.3,2,"Coronada, La",6039
Cantabria,39,15.4,13.1,2.3,2,Noja,39047
Jaén,23,15.8,13.5,2.3,2,Lahiguera,23040
Valencia/Valéncia,46,19.6,17.3,2.3,2,Vinalesa,46260
Córdoba,14,20.1,17.8,2.3,2,Encinas Reales,14024
Cantabria,39,21.1,18.8,2.3,2,Arnuero,39006
Toledo,45,21.5,19.2,2.3,2,Camuñas,45034
Cantabria,39,24.5,22.2,2.3,2,Voto,39102
Badajoz,6,24.8,22.5,2.3,3,Berlanga,6019
Cáceres,10,25.6,23.3,2.3,2,Madrigal de la Vera,10111
"Coruña, A",15,25.6,23.3,2.3,4,Tordoia,15084
Granada,18,26,23.7,2.3,2,Montejícar,18136
Málaga,29,26,23.7,2.3,2,Yunquera,29100
Navarra,31,27.2,24.9,2.3,2,Azagra,31042
Ciudad Real,13,29.5,27.2,2.3,5,Villanueva de los Infantes,13093
Sevilla,41,31.2,28.9,2.3,2,Huévar del Aljarafe,41051
"Balears, Illes",7,33.5,31.2,2.3,3,Bunyola,7010
Jaén,23,13,10.6,2.4,2,Frailes,23033
Ciudad Real,13,13.5,11.1,2.4,2,Montiel,13057
"Balears, Illes",7,13.7,11.3,2.4,2,Petra,7041
Navarra,31,18.7,16.3,2.4,2,Funes,31107
Granada,18,20.6,18.2,2.4,2,Lecrín,18119
Alicante,3,22.3,19.9,2.4,3,Bigastro,3044
Valencia/Valéncia,46,25,22.6,2.4,2,Manuel,46160
Zaragoza,50,30.3,27.9,2.4,2,Mequinenza,50165
Madrid,28,30.4,28,2.4,5,Moralzarzal,28090
Zaragoza,50,30.6,28.2,2.4,2,Pina de Ebro,50208
Granada,18,31.6,29.2,2.4,2,Benalúa,18027
Granada,18,31.9,29.5,2.4,2,Villanueva Mesía,18188
Tarragona,43,37.2,34.8,2.4,3,Móra d'Ebre,43093
Tarragona,43,37.4,35,2.4,2,"Arboç, L'",43016
Toledo,45,37.5,35.1,2.4,2,Magán,45088
Toledo,45,12.4,9.9,2.5,2,Huerta de Valdecarábanos,45078
Sevilla,41,17.8,15.3,2.5,2,"Navas de la Concepción, Las",41066
Badajoz,6,19,16.5,2.5,4,Calamonte,6025
Cáceres,10,23.2,20.7,2.5,2,Ceclavín,10061
Jaén,23,24,21.5,2.5,2,"Iruela, La",23047
Toledo,45,25.2,22.7,2.5,2,Cobisa,45052
Lleida,25,26.4,23.9,2.5,2,Ponts,25172
Santa Cruz de Tenerife,38,27.3,24.8,2.5,4,Buenavista del Norte,38010
Toledo,45,27.7,25.2,2.5,2,Alameda de la Sagra,45002
Navarra,31,34,31.5,2.5,3,Bera,31250
Almería,4,34.4,31.9,2.5,5,"Mojonera, La",4903
Barcelona,8,38.1,35.6,2.5,3,Navarcles,8140
Albacete,2,14.7,12.1,2.6,2,Valdeganga,2075
Toledo,45,15.5,12.9,2.6,2,"Guardia, La",45071
Ciudad Real,13,16,13.4,2.6,3,Villanueva de la Fuente,13092
Palencia,34,17.4,14.8,2.6,2,Paredes de Nava,34123
Málaga,29,17.5,14.9,2.6,2,Alozaina,29013
Almería,4,19.6,17,2.6,4,Macael,4062
